04.07.2016 18:45:49,UV: 5;
04.07.2016 18:45:49, Vorhermessung;
04.07.2016 18:50:44,   ; 902    ; 18,37798;
04.07.2016 18:50:45,   ; 890    ; 19,17029;
04.07.2016 18:50:46,   ; 891    ; 19,17681;
04.07.2016 18:50:47,   ; 886    ; 19,33261;
04.07.2016 18:50:48,   ; 890    ; 12,94218;
04.07.2016 18:50:48,   ; 880    ; 8,455768;
04.07.2016 18:50:49, Exp-Phase;
04.07.2016 18:50:49,   ; 892    ; 8,455768;
04.07.2016 18:50:50,   ; 895    ; 8,573215;
04.07.2016 18:50:51,   ; 935    ; 21,61597;
04.07.2016 18:50:52,   ; 970    ; 27,73986;
04.07.2016 18:50:53,   ; 991    ; 29,23611;
04.07.2016 18:50:54,   ; 998    ; 28,82707;
04.07.2016 18:50:55,   ; 969    ; 32,23352;
04.07.2016 18:50:56,   ; 977    ; 25,59297;
04.07.2016 18:50:57,   ; 990    ; 19,77372;
04.07.2016 18:50:58,   ; 958    ; 23,16787;
04.07.2016 18:50:59,   ; 967    ; 23,33988;
04.07.2016 18:51:00,   ; 947    ; 20,84466;
04.07.2016 18:51:01,   ; 962    ; 21,78876;
04.07.2016 18:51:02,   ; 981    ; 22,86373;
04.07.2016 18:51:02,   ; 977    ; 16,45448;
04.07.2016 18:51:03,   ; 991    ; 17,30607;
04.07.2016 18:51:04,   ; 959    ; 21,34245;
04.07.2016 18:51:05,   ; 926    ; 25,91332;
04.07.2016 18:51:06,   ; 926    ; 24,10913;
04.07.2016 18:51:07,   ; 946    ; 26,02403;
04.07.2016 18:51:08,   ; 960    ; 26,02403;
04.07.2016 18:51:09,   ; 953    ; 20,82066;
04.07.2016 18:51:10,   ; 922    ; 20,03746;
04.07.2016 18:51:11,   ; 919    ; 20,09353;
04.07.2016 18:51:12,   ; 927    ; 17,88156;
04.07.2016 18:51:13,   ; 953    ; 20,97022;
04.07.2016 18:51:14,   ; 970    ; 22,35509;
04.07.2016 18:51:15,   ; 974    ; 16,23268;
04.07.2016 18:51:15,   ; 944    ; 22,05108;
04.07.2016 18:51:16,   ; 933    ; 22,37186;
04.07.2016 18:51:17,   ; 933    ; 18,20714;
04.07.2016 18:51:18,   ; 944    ; 17,0147;
04.07.2016 18:51:19,   ; 941    ; 16,9632;
04.07.2016 18:51:20,   ; 936    ; 8,306623;
04.07.2016 18:51:21,   ; 938    ; 6,30476;
04.07.2016 18:51:22,   ; 947    ; 7,745967;
04.07.2016 18:51:23,   ; 964    ; 10,0995;
04.07.2016 18:51:24,   ; 959    ; 10,29563;
04.07.2016 18:51:25,   ; 929    ; 18,02082;
04.07.2016 18:51:26,   ; 924    ; 18,1659;
04.07.2016 18:51:26,   ; 927    ; 17,66352;
04.07.2016 18:51:27,   ; 939    ; 16,60572;
04.07.2016 18:51:28,   ; 951    ; 17,47856;
04.07.2016 18:51:29,   ; 907    ; 23,75921;
04.07.2016 18:51:30,   ; 901    ; 23,81701;
04.07.2016 18:51:31,   ; 906    ; 23,90084;
04.07.2016 18:51:32,   ; 930    ; 26,06243;
04.07.2016 18:51:33,   ; 949    ; 27,0832;
04.07.2016 18:51:34,   ; 931    ; 18,17966;
04.07.2016 18:51:35,   ; 942    ; 18,755;
04.07.2016 18:51:36,   ; 961    ; 20,87463;
04.07.2016 18:51:36,   ; 962    ; 17,08801;
04.07.2016 18:51:37,   ; 962    ; 14,20387;
04.07.2016 18:51:38,   ; 926    ; 21,0891;
04.07.2016 18:51:39,   ; 912    ; 21,52905;
04.07.2016 18:51:40,   ; 908    ; 19,42292;
04.07.2016 18:51:41,   ; 913    ; 19,57677;
04.07.2016 18:51:42,   ; 930    ; 21,34245;
04.07.2016 18:51:43,   ; 953    ; 16,24038;
04.07.2016 18:51:44,   ; 971    ; 17,19738;
04.07.2016 18:51:45,   ; 917    ; 31,94918;
04.07.2016 18:51:46,   ; 909    ; 32,1014;
04.07.2016 18:51:46,   ; 899    ; 31,35682;
04.07.2016 18:51:47,   ; 899    ; 29,1719;
04.07.2016 18:51:48,   ; 893    ; 27,91057;
04.07.2016 18:51:49,   ; 890    ; 7,228416;
04.07.2016 18:51:50,   ; 890    ; 6,020797;
04.07.2016 18:51:51,   ; 901    ; 6,44205;
04.07.2016 18:51:52,   ; 914    ; 9,151503;
04.07.2016 18:51:53,   ; 926    ; 10,52378;
04.07.2016 18:51:54,   ; 930    ; 10,6066;
04.07.2016 18:51:54,   ; 910    ; 14,57738;
04.07.2016 18:51:55,   ; 912    ; 13,53699;
04.07.2016 18:51:56,   ; 905    ; 12,37942;
04.07.2016 18:51:57,   ; 908    ; 10,93161;
04.07.2016 18:51:58,   ; 902    ; 11,15796;
04.07.2016 18:51:59,   ; 901    ; 4,974937;
04.07.2016 18:52:00,   ; 899    ; 4,974937;
04.07.2016 18:52:01,   ; 905    ; 4,636809;
04.07.2016 18:52:01,   ; 915    ; 6,652067;
04.07.2016 18:52:02,   ; 932    ; 10,36822;
04.07.2016 18:52:03,   ; 911    ; 14,74788;
04.07.2016 18:52:04,   ; 915    ; 14,84924;
04.07.2016 18:52:05,   ; 916    ; 14,55163;
04.07.2016 18:52:06,   ; 918    ; 13,70219;
04.07.2016 18:52:07,   ; 927    ; 11,65118;
04.07.2016 18:52:08,   ; 906    ; 11,65118;
04.07.2016 18:52:09,   ; 901    ; 11,74734;
04.07.2016 18:52:11,   ; 909    ; 12,3996;
04.07.2016 18:52:11,   ; 923    ; 14,20387;
04.07.2016 18:52:12,   ; 945    ; 17,39253;
04.07.2016 18:52:13,   ; 935    ; 14,7394;
04.07.2016 18:52:14,   ; 927    ; 15,06652;
04.07.2016 18:52:15,   ; 921    ; 14,8324;
04.07.2016 18:52:16,   ; 908    ; 14,60308;
04.07.2016 18:52:17,   ; 909    ; 9,617692;
04.07.2016 18:52:18,   ; 919    ; 9,617692;
04.07.2016 18:52:19,   ; 898    ; 13,66565;
04.07.2016 18:52:20,   ; 904    ; 13,66565;
04.07.2016 18:52:20,   ; 912    ; 12,66886;
04.07.2016 18:52:21,   ; 913    ; 12,66886;
04.07.2016 18:52:22,   ; 916    ; 11,73669;
04.07.2016 18:52:23,   ; 922    ; 6,041523;
04.07.2016 18:52:24,   ; 899    ; 12,63923;
04.07.2016 18:52:25,   ; 912    ; 13,63818;
04.07.2016 18:52:26,   ; 918    ; 13,95529;
04.07.2016 18:52:27,   ; 916    ; 13,91043;
04.07.2016 18:52:28,   ; 928    ; 14,84924;
04.07.2016 18:52:28,   ; 923    ; 9,721111;
04.07.2016 18:52:29,   ; 924    ; 7,245688;
04.07.2016 18:52:30,   ; 887    ; 19,64052;
04.07.2016 18:52:31,   ; 873    ; 20,82667;
04.07.2016 18:52:32,   ; 871    ; 19,96873;
04.07.2016 18:52:33,   ; 858    ; 20,85066;
04.07.2016 18:52:34,   ; 848    ; 21,43595;
04.07.2016 18:52:34,   ; 847    ; 10,83974;
04.07.2016 18:52:34,   ; 850    ; 8,411302;
04.07.2016 18:52:36,   ; 867    ; 11,91638;
04.07.2016 18:52:36,   ; 896    ; 17,60682;
04.07.2016 18:52:37,   ; 931    ; 24,31563;
04.07.2016 18:52:38,   ; 906    ; 27,33587;
04.07.2016 18:52:40,   ; 915    ; 27,66315;
04.07.2016 18:52:40,   ; 911    ; 26,40076;
04.07.2016 18:52:40,   ; 926    ; 23,30236;
04.07.2016 18:52:41,   ; 933    ; 15,77973;
04.07.2016 18:52:42,   ; 910    ; 15;
04.07.2016 18:52:43,   ; 906    ; 14,44818;
04.07.2016 18:52:44,   ; 900    ; 14,62019;
04.07.2016 18:52:45,   ; 899    ; 12,55986;
04.07.2016 18:52:46,   ; 919    ; 15,66844;
04.07.2016 18:52:47,   ; 926    ; 11,20268;
04.07.2016 18:52:48,   ; 895    ; 19,01973;
04.07.2016 18:52:48,   ; 880    ; 20,22375;
04.07.2016 18:52:49,   ; 859    ; 22,78157;
04.07.2016 18:52:50,   ; 852    ; 20,76656;
04.07.2016 18:52:51,   ; 862    ; 21,07131;
04.07.2016 18:52:52,   ; 876    ; 15,89811;
04.07.2016 18:52:53,   ; 894    ; 16,65833;
04.07.2016 18:52:54,   ; 902    ; 13,53699;
04.07.2016 18:52:54,   ; 904    ; 13,11488;
04.07.2016 18:52:55,   ; 915    ; 13,31353;
04.07.2016 18:52:56,   ; 930    ; 13,58308;
04.07.2016 18:52:57,   ; 921    ; 11,1243;
04.07.2016 18:52:58,   ; 936    ; 12,80625;
04.07.2016 18:52:59,   ; 940    ; 12,92285;
04.07.2016 18:53:00,   ; 957    ; 14,45683;
04.07.2016 18:53:01,   ; 996    ; 23,08679;
04.07.2016 18:53:02,   ; 994    ; 22,66605;
04.07.2016 18:53:03,   ; 979    ; 22,66605;
04.07.2016 18:53:04,   ; 966    ; 23,49468;
04.07.2016 18:53:05,   ; 965    ; 21,9089;
04.07.2016 18:53:06,   ; 968    ; 10,0995;
04.07.2016 18:53:07,   ; 967    ; 10,06231;
